url,name,price,value
https://eda.yandex.ru/retail/lenta/product/d5604e83-568e-4bc5-8900-8a8466fa15ee?placeSlug=giper_gwhxm,Масло сливочное ЛЕНТА LIFE безлактозное 825% без змж,159RUB,150г
https://eda.yandex.ru/retail/lenta/product/d4f68dcb-c72f-4908-9c38-da7904323a1b?placeSlug=giper_gwhxm,Творог детский фруктовый Агуша Яблоко-Банан 3.9% с 6 месяцев,45RUB,100г
https://eda.yandex.ru/retail/lenta/product/55ce5c0c-bed8-4493-b8e5-3d34fad4b247?placeSlug=giper_gwhxm,Биотворог детский Тёма клубника-банан 42%,37RUB,95г
https://eda.yandex.ru/retail/lenta/product/1f12fbda-8386-4175-8289-01c395be22a3?placeSlug=giper_gwhxm,Творог детский мягкий Агуша Первая ложка Классический 4.5% 100г с 6 месяцев,42RUB,100г
https://eda.yandex.ru/retail/lenta/product/c50f1f0c-f866-45b3-b9e9-e61c8c9c89bd?placeSlug=giper_gwhxm,Йогурт детский питьевой Агуша Клубника-Банан с 8 месяцев 180г ,42RUB,180мл
https://eda.yandex.ru/retail/lenta/product/f7ebbbc0-8310-4280-adbf-e8cae93084c4?placeSlug=giper_gwhxm,Творог детский фруктовый Агуша Засыпай-ка Клубника-Банан-Мелисса 100г с 6 месяцев,45RUB,100г
https://eda.yandex.ru/retail/lenta/product/06dde9a9-2c59-4638-897f-458bdfa351e3?placeSlug=giper_gwhxm,Творог детский фруктовый Агуша Черника 3.9% 100г с 6 месяцев,45RUB,100г
https://eda.yandex.ru/retail/lenta/product/1e925799-fd0e-4dae-8dd2-f51eaad4207d?placeSlug=giper_gwhxm,Ряженка детская Агуша Клубника 2.9% с 12 месяцев,42RUB,180г
https://eda.yandex.ru/retail/lenta/product/a9d740b9-0f27-4f74-987c-987ea5f08b1b?placeSlug=giper_gwhxm,Творог детский фруктовый Агуша Груша 3.9% 100г с 6 месяцев,45RUB,100г
https://eda.yandex.ru/retail/lenta/product/626da61c-e68f-4aba-8587-40932fc486f2?placeSlug=giper_gwhxm,Биотворог детский Тёма Груша 4% с 6 месяцев,37RUB,95г
https://eda.yandex.ru/retail/lenta/product/f8cc25af-2a92-4c9f-91df-8759e81a654d?placeSlug=giper_gwhxm,Биотворог Тёма с 6 месяцев 4.5%,37RUB,95г
https://eda.yandex.ru/retail/lenta/product/062fb53c-3b41-4437-bb15-ba31a444a9fa?placeSlug=giper_gwhxm,Сливки Лента ультрапастеризованные 20% тетрапак,66RUB,198мл
https://eda.yandex.ru/retail/lenta/product/243b24f8-f319-474c-b233-764338ddb9e6?placeSlug=giper_gwhxm,Сливки Домик в деревне 10%,68RUB,196мл
https://eda.yandex.ru/retail/lenta/product/b5568cd2-72be-45f2-8b6d-69c91fce71b7?placeSlug=giper_gwhxm,Сливки Домик в деревне 20%,187RUB,475мл
https://eda.yandex.ru/retail/lenta/product/f7da5b41-cb34-4b88-bffb-1ed15d512faf?placeSlug=giper_gwhxm,Сливки Лента стерилизованные питьевые 20%,165RUB,500мл
https://eda.yandex.ru/retail/lenta/product/cd4a9d8f-cf86-4306-911f-2842d6f4bb48?placeSlug=giper_gwhxm,Сливки Лента 33%,99RUB,200мл
https://eda.yandex.ru/retail/lenta/product/bd537304-206a-4ea8-875f-eafcce9ef3f9?placeSlug=giper_gwhxm,Сливки Домик в деревне 33% 200г,138RUB,200мл
